Fiscal_Year,Month,Month_Order,Revenue_M,Policy_Note
FY2021,July,1,1.19,Floor tax transition anomaly
FY2021,August,2,25.29,
FY2021,September,3,25.12,
FY2021,October,4,31.36,
FY2021,November,5,19.95,
FY2021,December,6,30.47,
FY2021,January,7,23.20,
FY2021,February,8,19.83,
FY2021,March,9,24.79,MD tax raised to $3.75 Mar 14 2021
FY2021,April,10,25.80,
FY2021,May,11,41.36,
FY2021,June,12,53.81,
FY2022,July,1,30.49,
FY2022,August,2,37.87,
FY2022,September,3,36.26,
FY2022,October,4,42.33,First month after DC flavor ban Oct 2022
FY2022,November,5,37.75,
FY2022,December,6,32.36,
FY2022,January,7,34.25,
FY2022,February,8,29.79,
FY2022,March,9,34.24,
FY2022,April,10,35.38,
FY2022,May,11,31.24,
FY2022,June,12,35.92,
FY2023,July,1,35.27,
FY2023,August,2,35.35,
FY2023,September,3,33.03,
FY2023,October,4,37.84,
FY2023,November,5,34.59,
FY2023,December,6,27.89,
FY2023,January,7,30.57,
FY2023,February,8,28.01,
FY2023,March,9,29.23,
FY2023,April,10,29.49,
FY2023,May,11,28.01,
FY2023,June,12,41.10,
FY2024,July,1,36.23,MD tax raised to $5.00 Jul 1 2024
FY2024,August,2,27.78,
FY2024,September,3,32.98,
FY2024,October,4,32.74,
FY2024,November,5,27.90,
FY2024,December,6,27.77,
FY2024,January,7,23.18,
FY2024,February,8,29.65,
FY2024,March,9,22.20,
FY2024,April,10,28.68,
FY2024,May,11,33.22,
FY2024,June,12,21.31,
FY2025,July,1,39.91,
FY2025,August,2,33.20,
FY2025,September,3,30.15,
FY2025,October,4,37.57,
FY2025,November,5,30.78,
FY2025,December,6,26.99,
FY2025,January,7,28.02,
FY2025,February,8,34.52,
FY2025,March,9,24.58,
FY2025,April,10,30.96,
FY2025,May,11,34.06,
FY2025,June,12,39.71,
