Fiscal_Year,Month,Month_Order,Revenue_M
FY2021,July,1,0.00
FY2021,August,2,3.97
FY2021,September,3,3.45
FY2021,October,4,4.34
FY2021,November,5,3.57
FY2021,December,6,3.38
FY2021,January,7,4.32
FY2021,February,8,3.44
FY2021,March,9,3.33
FY2021,April,10,4.84
FY2021,May,11,4.71
FY2021,June,12,7.99
FY2022,July,1,1.82
FY2022,August,2,5.19
FY2022,September,3,4.91
FY2022,October,4,5.26
FY2022,November,5,4.70
FY2022,December,6,4.83
FY2022,January,7,5.16
FY2022,February,8,4.21
FY2022,March,9,4.17
FY2022,April,10,5.02
FY2022,May,11,4.74
FY2022,June,12,5.56
FY2023,July,1,3.82
FY2023,August,2,4.83
FY2023,September,3,4.69
FY2023,October,4,4.85
FY2023,November,5,4.55
FY2023,December,6,5.27
FY2023,January,7,4.51
FY2023,February,8,4.33
FY2023,March,9,4.22
FY2023,April,10,5.01
FY2023,May,11,3.79
FY2023,June,12,8.35
FY2024,July,1,2.25
FY2024,August,2,4.90
FY2024,September,3,5.02
FY2024,October,4,4.54
FY2024,November,5,5.25
FY2024,December,6,4.61
FY2024,January,7,4.68
FY2024,February,8,4.16
FY2024,March,9,5.33
FY2024,April,10,5.35
FY2024,May,11,4.76
FY2024,June,12,10.57
FY2025,July,1,0.42
FY2025,August,2,5.91
FY2025,September,3,7.73
FY2025,October,4,9.39
FY2025,November,5,4.79
FY2025,December,6,5.09
FY2025,January,7,4.45
FY2025,February,8,4.15
FY2025,March,9,3.95
FY2025,April,10,5.07
FY2025,May,11,4.97
FY2025,June,12,9.48
